# Values from mcmc DUSTY fits to precursor data 
# MJD : Modified Julian Date
# Tstar : Effective temperature of the star [K]
# Tstar_min : Lower limit of the effective temperature [K]
# Tstar_max : Upper limit of the effective temperature [K]
# L : Luminosity of the star [erg/s]
# L_min : Lower limit of the luminosity [erg/s]
# L_max : Upper limit of the luminosity [erg/s]
# tdust : Dust shell temperature at inner boundary [K]
# tdust_min : Lower limit of the dust shell temperature [K]
# tdust_max : Upper limit of the dust shell temperature [K]
# tau : Optical depth of the dust shell in the V band
# tau_min : Lower limit of the optical depth
# tau_max : Upper limit of the optical depth
# r1 : Inner radius of the dust shell [cm]
# r1_min : Lower limit of the inner radius [cm]
# r1_max : Upper limit of the inner radius [cm]
# rstar : Stellar photospheric radius [R_sun]
# rstar_min : Lower limit of the stellar photospheric radius [R_sun]
# rstar_max : Upper limit of the stellar photospheric radius [R_sun]
# 
MJD,Tstar,Tstar_min,Tstar_max,L,L_min,L_max,tdust,tdust_min,tdust_max,tau,tau_min,tau_max,r1,r1_min,r1_max
59150.82608695652,3709.6034952673617,3617.8000213826817,3900.2430714392503,1.2222232569769853e+38,1.12138190194006e+38,1.3563627397225507e+38,1083.6993925109996,809.1811777447355,1342.8403974026044,0.3283582952856806,0.22629918929349113,0.41688885366878814,14.595556308368508,14.39821569231274,14.909814720437849
59186.57971014493,3701.4236191396217,3616.754886201261,3896.666151483744,1.264106399906143e+38,1.15924999417868e+38,1.4143863660124674e+38,1039.5232488286451,780.923832245946,1310.9182002067328,0.31099736175730586,0.20096096819489465,0.39527652666248647,14.64965027704414,14.407914164671505,14.95093802454738
59222.333333333336,3746.1994698463855,3628.609934547917,3927.93231347482,1.2689296386520197e+38,1.1741367338195944e+38,1.4296525999403392e+38,1065.003840712126,802.079655895624,1323.1506848880194,0.31285872986917435,0.19737149492225997,0.40375772478606065,14.635162965979076,14.408319173808106,14.933323606822531
59258.086956521736,3747.9510233671704,3636.415446358636,3917.8932199934698,1.3130109697086828e+38,1.219873748002321e+38,1.4916974077168212e+38,1020.0042716024274,773.9845057172006,1295.0072116079205,0.2873864349852408,0.18586215918368384,0.3719944042756843,14.685881627949232,14.418418449889204,14.967500619223408
59293.840579710144,3747.479831147024,3652.205328687584,3925.505784406133,1.3625154890638355e+38,1.2650469008461047e+38,1.5332388500654705e+38,1019.0179365998994,754.8143983952813,1305.9193334672264,0.2740209835203017,0.17949588363079816,0.37438363332725266,14.697495768949056,14.422512311923724,15.027451147281452
59329.59420289855,3796.0090369244895,3669.8820039774846,3944.9839871225904,1.4017255521435111e+38,1.3122756953923932e+38,1.56703494490062e+38,1070.1272254321395,800.671838799911,1337.9909459211035,0.2774534708905196,0.187731045314096,0.356883774521883,14.643221215961473,14.40745792703112,14.960466522891952
59365.34782608696,3792.730350585593,3663.8757547395526,3942.798517040484,1.464802909918827e+38,1.3628450096834062e+38,1.6577761835276796e+38,1066.591274209943,758.7714787629864,1329.0995798599863,0.2743860716313158,0.18269647490347063,0.35868998865800955,14.660956609112603,14.42747046417954,15.021911246874124
59401.10144927536,3787.012700903708,3675.086022625151,3933.3149226205896,1.539605950760932e+38,1.4221711352172269e+38,1.7137415087753106e+38,1069.07607968522,790.3904739690972,1341.786807747804,0.26780552278401226,0.1770278153790839,0.34341840427713854,14.663193363500435,14.433500929528403,14.9847944038404
59436.85507246377,3791.204074680472,3676.2027448400754,3938.5217912709527,1.5914898923926229e+38,1.4623954690278011e+38,1.746644680136534e+38,1092.0221179117711,820.7283887728886,1349.4559057389408,0.26622864635783566,0.18348573055736536,0.345019629441564,14.646812190752213,14.431137050433135,14.94998425788453
59472.608695652176,3796.728300979604,3668.04962853306,3939.784606988168,1.6359338451413924e+38,1.4941853820989225e+38,1.8140709643984315e+38,1072.475401934259,797.4594406942255,1327.8082648138577,0.2730395371379464,0.18612403269844768,0.3516702146588101,14.676094477622284,14.451395260414815,14.988975815199444
