# Values from mcmc blackbody fits to eruption data 
# MJD : Modified Julian Date
# Tstar : Effective temperature of the star [K]
# Tstar_min : Lower limit of the effective temperature [K]
# Tstar_max : Upper limit of the effective temperature [K]
# L : Luminosity of the star [erg/s]
# L_min : Lower limit of the luminosity [erg/s]
# L_max : Upper limit of the luminosity [erg/s]
# r : Stellar photospheric radius [cm]
# r_min : Lower limit of the stellar photospheric radius [cm]
# r_max : Upper limit of the stellar photospheric radius [cm]
# 
MJD,Tstar,Tstar_min,Tstar_max,L,L_min,L_max,r,r_min,r_max
61024.71777777979,3883.6412413648895,3807.830728922249,3960.67808246582,4.324866384996948e+39,4.0120035786638934e+39,4.639410277629286e+39,163413869008039.8,152281456916448.3,174706874162961.78
61025.61644676002,3901.535143691796,3832.367535132552,3971.6607319607815,4.478893349863908e+39,4.1803014270042697e+39,4.792366531718519e+39,164758329954258.9,154520966688603.5,175827225352793.4
61026.166006899904,3869.829372312545,3799.7211060950767,3942.214784119261,4.413741726207973e+39,4.107982392972194e+39,4.732210985556828e+39,166185524143010.8,155143743704992.53,177497836090180.47
61028.17884259997,3840.3316682016416,3773.172144116851,3908.6353888859694,4.503370043695547e+39,4.201413675982894e+39,4.8273676501390184e+39,170572403612309.56,159314309231008.88,182360046060868.38
61028.68179397984,3824.1822085944086,3755.769295469719,3899.9672698045856,4.512632899306239e+39,4.1871183051217975e+39,4.832009599075836e+39,172138924641587.7,160304521246713.16,183744307404735.25
61030.19961810018,3798.555826142712,3731.58042450154,3868.2027743835574,4.565876974339745e+39,4.240678794968246e+39,4.886170113818786e+39,175424988584746.56,163702299449087.06,187407086822535.12
61032.62262730999,3729.234433530208,3656.0580420538768,3803.6030678871216,4.5786377274631464e+39,4.2478065464933726e+39,4.926647806865384e+39,182305675684429.3,169849616220476.47,195599258155329.6
61035.62916667014,3706.0794354304694,3643.9738499918594,3771.672622109613,4.897273117614646e+39,4.552326006357226e+39,5.2568925005948803e+39,190861065740016.8,178312148572688.9,203524184777402.3
61036.666388889775,3688.9268234177193,3626.649307218981,3749.718372155801,4.9841779273362915e+39,4.634437871296945e+39,5.334127302357954e+39,194370201942181.6,182124588418877.53,207052797186153.44
61038.17722220021,3675.3649658689856,3619.26074781718,3734.587706291796,5.1751121681212165e+39,4.842332296209907e+39,5.525010814082678e+39,199492776638291.6,187452901097686.88,212029099723314.8
