MJD,mag,magunc,filter
58388.2694,20.2289,0.0951,ZTF-r
58389.3026,20.2041,0.1080,ZTF-r
58389.3631,20.7806,0.1640,ZTF-g
58390.2532,20.2494,0.1368,ZTF-r
58400.2851,21.6589,0.2980,ZTF-g
58423.3254,20.1002,0.0809,ZTF-r
58426.2609,20.0056,0.0946,ZTF-r
58427.2924,19.1263,0.1412,ZTF-i
58428.2664,19.8593,0.0853,ZTF-r
58429.2473,21.9168,0.3235,ZTF-g
58429.2856,19.9453,0.0724,ZTF-r
58430.1532,20.1494,0.1276,ZTF-r
58430.2277,19.0083,0.1336,ZTF-i
58430.2681,21.6667,0.1810,ZTF-g
58431.1926,19.8442,0.0754,ZTF-r
58432.2931,20.0203,0.0693,ZTF-r
58434.2304,20.1641,0.1053,ZTF-r
58435.2920,20.0218,0.0690,ZTF-r
58437.2905,19.8148,0.1093,ZTF-r
58441.2834,19.8881,0.1508,ZTF-r
58443.1029,19.8968,0.1162,ZTF-r
58449.2515,19.9437,0.1203,ZTF-r
58456.2117,20.0805,0.1054,ZTF-r
58457.2090,20.3720,0.1624,ZTF-r
58472.1171,20.0430,0.1684,ZTF-r
58479.2948,17.6686,0.0289,NEOWISE-W1
58479.3343,17.9850,0.0823,NEOWISE-W2
58486.1136,20.1554,0.1819,ZTF-r
58490.1336,20.1322,0.1790,ZTF-r
58493.1167,20.3736,0.2093,ZTF-r
58627.4664,19.9458,0.0786,ZTF-r
58650.4323,20.1635,0.1829,ZTF-r
58653.4453,19.8845,0.1505,ZTF-r
58665.4509,20.1052,0.1758,ZTF-r
58668.3673,20.0214,0.1659,ZTF-r
58669.4336,20.1164,0.1771,ZTF-r
58674.4498,21.6730,0.2994,ZTF-g
58677.4602,21.5656,0.2042,ZTF-g
58677.4885,20.0760,0.1218,ZTF-r
58680.4252,20.1725,0.1840,ZTF-r
58682.9177,17.9745,0.1062,NEOWISE-W2
58682.9750,17.5490,0.0312,NEOWISE-W1
58683.4316,20.0724,0.0934,ZTF-r
58683.4442,20.0134,0.1649,ZTF-r
58686.4132,20.0150,0.0785,ZTF-r
58686.4544,18.9427,0.0754,ZTF-i
58696.4289,21.5804,0.2902,ZTF-g
58696.4595,21.8307,0.3150,ZTF-g
58697.4842,21.4521,0.2776,ZTF-g
58699.3928,20.0048,0.1639,ZTF-r
58699.4536,21.7125,0.3033,ZTF-g
58701.4594,21.7286,0.2156,ZTF-g
58704.4454,21.5874,0.2909,ZTF-g
58704.4696,20.1982,0.1872,ZTF-r
58705.4690,19.9764,0.1607,ZTF-r
58705.4858,21.5761,0.2898,ZTF-g
58706.4547,22.1591,0.3475,ZTF-g
58707.4759,20.0184,0.1655,ZTF-r
58708.4695,21.6508,0.2972,ZTF-g
58710.4009,20.0270,0.0793,ZTF-r
58711.3928,19.9939,0.0988,ZTF-r
58712.3870,20.0047,0.0782,ZTF-r
58713.3687,19.8974,0.0821,ZTF-r
58713.4286,19.1120,0.1403,ZTF-i
58714.3866,19.8730,0.0807,ZTF-r
58715.4086,19.9717,0.0762,ZTF-r
58716.4193,19.9846,0.0877,ZTF-r
58717.4929,20.0245,0.0793,ZTF-r
58718.9949,20.0440,0.0592,ZTF-r
58720.3873,20.0488,0.1691,ZTF-r
58722.4188,21.7724,0.2189,ZTF-g
58723.1785,21.8262,0.1171,ZTF-g
58724.3974,20.0680,0.0738,ZTF-r
58724.9713,21.7018,0.1293,ZTF-g
58726.3986,19.9950,0.0883,ZTF-r
58726.4233,21.8728,0.2420,ZTF-g
58727.4569,22.1598,0.2625,ZTF-g
58727.4982,20.0345,0.1184,ZTF-r
58730.3236,21.6220,0.2944,ZTF-g
58732.4061,21.6486,0.2970,ZTF-g
58732.9408,20.0372,0.1186,ZTF-r
58733.4374,19.0126,0.0796,ZTF-i
58734.4423,21.5848,0.2907,ZTF-g
58735.3473,20.1203,0.0848,ZTF-r
58736.3978,19.8521,0.0698,ZTF-r
58737.3323,19.8961,0.1517,ZTF-r
58737.4694,21.3577,0.2682,ZTF-g
58738.3666,19.9693,0.0631,ZTF-r
58739.3493,19.9533,0.0857,ZTF-r
58740.4249,19.8313,0.0783,ZTF-r
58741.2785,19.8658,0.0544,ZTF-r
58743.3683,19.9329,0.1101,ZTF-r
58743.4736,19.0047,0.1334,ZTF-i
58744.3926,19.8685,0.0772,ZTF-r
58745.3813,19.8956,0.0652,ZTF-r
58747.3924,19.0672,0.0830,ZTF-i
58747.4232,19.9665,0.0797,ZTF-r
58747.8892,19.9645,0.1127,ZTF-r
58749.2861,19.8653,0.0856,ZTF-r
58749.3438,21.6419,0.2963,ZTF-g
58750.3200,20.0187,0.0954,ZTF-r
58750.3864,21.5498,0.2189,ZTF-g
58751.3031,19.9827,0.0932,ZTF-r
58751.3717,18.9732,0.0669,ZTF-i
58751.4248,21.0061,0.2334,ZTF-g
58756.4004,19.9623,0.1591,ZTF-r
58756.4086,21.5899,0.2912,ZTF-g
58758.3213,19.9096,0.0765,ZTF-r
58758.3798,21.5102,0.1718,ZTF-g
58760.3203,19.9244,0.0894,ZTF-r
58760.3649,21.5296,0.2852,ZTF-g
58761.3627,19.9346,0.0697,ZTF-r
58763.3464,19.9290,0.0897,ZTF-r
58764.1356,19.9444,0.1571,ZTF-r
58764.3873,21.8914,0.3210,ZTF-g
58765.1456,19.9411,0.0700,ZTF-r
58766.1356,19.7194,0.1333,ZTF-r
58768.0166,19.7850,0.0699,ZTF-r
58769.2850,18.8225,0.1215,ZTF-i
58769.3550,19.7920,0.0989,ZTF-r
58770.2259,19.6756,0.0744,ZTF-r
58772.1368,19.9767,0.1607,ZTF-r
58775.1368,20.0390,0.1679,ZTF-r
58775.1652,21.7026,0.3024,ZTF-g
58776.1366,20.0625,0.1707,ZTF-r
58777.1370,19.9276,0.1552,ZTF-r
58777.1649,20.7735,0.2104,ZTF-g
58778.1371,19.8682,0.1487,ZTF-r
58779.1369,20.0095,0.1645,ZTF-r
58781.1368,19.8017,0.1416,ZTF-r
58782.1359,19.9953,0.1629,ZTF-r
58783.1371,20.0156,0.1652,ZTF-r
58785.1367,19.9448,0.1571,ZTF-r
58786.1436,19.9120,0.1535,ZTF-r
58787.1359,20.0084,0.1644,ZTF-r
58788.1368,20.1130,0.1767,ZTF-r
58789.2047,20.0550,0.1198,ZTF-r
58790.1679,19.8662,0.1485,ZTF-r
58792.1653,20.1147,0.1769,ZTF-r
58793.1293,19.9491,0.1576,ZTF-r
58793.2095,21.0012,0.2329,ZTF-g
58796.1147,20.2132,0.1890,ZTF-r
58800.3000,20.4018,0.1492,ZTF-r
58801.3083,19.9814,0.1613,ZTF-r
58803.2746,20.1151,0.1251,ZTF-r
58812.2455,20.0848,0.1733,ZTF-r
58814.1735,20.1201,0.1256,ZTF-r
58819.1636,20.1517,0.1814,ZTF-r
58830.2860,19.9182,0.1542,ZTF-r
58831.1002,19.9902,0.1623,ZTF-r
58837.0835,20.1461,0.1807,ZTF-r
58843.4546,17.9253,0.0889,NEOWISE-W2
58843.4667,17.5416,0.0313,NEOWISE-W1
58846.1167,19.8961,0.1517,ZTF-r
58849.0819,20.0025,0.1637,ZTF-r
58852.1567,20.0069,0.1642,ZTF-r
58855.1942,19.7484,0.1362,ZTF-r
58856.1677,19.9238,0.1548,ZTF-r
58859.1831,20.0612,0.1705,ZTF-r
58871.0904,19.7546,0.1368,ZTF-r
58874.1142,20.1264,0.1783,ZTF-r
58877.1227,19.9731,0.1603,ZTF-r
58880.1501,19.6885,0.1302,ZTF-r
58887.1106,19.7885,0.1403,ZTF-r
58891.1108,20.1089,0.1762,ZTF-r
58893.1127,21.7359,0.2322,ZTF-g
58893.1325,19.7433,0.1036,ZTF-r
58894.1292,19.7366,0.1350,ZTF-r
58905.1158,19.5695,0.1191,ZTF-r
58979.4751,19.7761,0.1390,ZTF-r
58981.4725,19.8638,0.0739,ZTF-r
58987.4645,19.9413,0.0781,ZTF-r
58991.4637,19.8388,0.0727,ZTF-r
58993.4637,19.7741,0.0692,ZTF-r
58995.4630,19.8300,0.0723,ZTF-r
58999.4610,19.8023,0.1002,ZTF-r
59001.4677,19.8762,0.0863,ZTF-r
59018.4695,19.8314,0.1448,ZTF-r
59024.4686,19.7951,0.1409,ZTF-r
59030.4684,20.1570,0.1821,ZTF-r
59033.3612,20.0367,0.1677,ZTF-r
