ra,dec,x_image,y_image,mjd,flux_bkg,local_bkg_flg,flags,fit_ql,deep_flg,det_id,lvf_id,obs_publisher_did,lambda,lambda_width,flux,flux_err
9.7025100,40.7689480,828.0588989257812,218.4195098876953,61032.374943608,0.25506162643432617,True,2097152,4.098570346832275,False,3,202552101027213,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0272_1/D3,2.3257815837860107,0.05735510215163231,8523.6865234375,105.88002014160156
9.7025100,40.7689480,827.4915771484375,103.22440338134766,61032.3764358535,0.24301178753376007,True,2097152,3.224931478500366,False,3,202552101027223,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0272_2/D3,2.379551649093628,0.05908810719847679,7777.5400390625,105.24027252197266
9.7025100,40.7689480,1237.9791259765625,1920.979248046875,61040.727271258496,0.22443577647209167,True,2097152,3.8916263580322266,False,4,202601101056424,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0564_2/D4,2.4445345401763916,0.057517871260643005,7469.3076171875,101.82400512695312
9.7025100,40.7689480,1235.0240478515625,1806.5220947265625,61040.7287635155,0.21971483528614044,True,2097152,4.25509786605835,False,4,202601101056434,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0564_3/D4,2.503894329071045,0.0717756599187851,8629.4462890625,95.2755355834961
9.7025100,40.7689480,1232.06884765625,1692.0750732421875,61040.730255772505,0.21406102180480957,True,2097152,4.3833112716674805,False,4,202601101056444,ivo://irsa.ipac/spherex_qr2?2026W01_1A_0564_4/D4,2.572066307067871,0.07340224832296371,9250.498046875,97.02134704589844
9.7025100,40.7689480,1229.069580078125,1577.365234375,61041.543356895,0.21966902911663055,True,2097152,3.6518237590789795,False,4,202601201000914,ivo://irsa.ipac/spherex_qr2?2026W01_2A_0009_1/D4,2.641922950744629,0.07416979968547821,9524.8125,98.21917724609375
9.7025100,40.7689480,1226.0352783203125,1462.7445068359375,61041.544849152,0.20916351675987244,True,4297064518,3.786862373352051,False,4,202601201000924,ivo://irsa.ipac/spherex_qr2?2026W01_2A_0009_2/D4,2.713801383972168,0.07592856138944626,9720.3828125,101.18406677246094
9.7025100,40.7689480,1223.0498046875,1348.07275390625,61041.546341409,0.21229557693004608,True,2097152,4.0915632247924805,False,4,202601201000934,ivo://irsa.ipac/spherex_qr2?2026W01_2A_0009_3/D4,2.7868146896362305,0.07779313623905182,9335.2255859375,100.17823791503906
9.7025100,40.7689480,1220.0733642578125,1233.3067626953125,61041.547833666,0.21256357431411743,True,2097152,3.9468793869018555,False,4,202601201000944,ivo://irsa.ipac/spherex_qr2?2026W01_2A_0009_4/D4,2.8647067546844482,0.08056750893592834,9735.728515625,101.3695297241211
9.7025100,40.7689480,1692.525634765625,1216.5740966796875,61034.140032254,0.1950952708721161,True,2097152,4.258304595947266,False,4,202552101063614,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0636_1/D4,2.8897409439086914,0.08248620480298996,8671.890625,93.97587585449219
9.7025100,40.7689480,1689.8946533203125,1101.6920166015625,61034.141524511,0.1925254464149475,True,2097152,4.09279727935791,False,4,202552101063624,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0636_2/D4,2.969376802444458,0.08658333867788315,8566.77734375,93.56006622314453
9.7025100,40.7689480,1687.2205810546875,986.7911376953125,61034.1430167565,0.19208453595638275,True,2097152,4.192917346954346,False,4,202552101063634,ivo://irsa.ipac/spherex_qr2?2025W52_1A_0636_3/D4,3.0505053997039795,0.08678916096687317,7887.07177734375,89.3010482788086
